"event_id", "prog_id", "layer_id", "output_id", "sidx", "loss"
26, 1, 1, 1, 72, 60.074711
26, 1, 1, 1, 73, 1274.541260
26, 1, 1, 1, 74, 0.000000
26, 1, 1, 1, 75, 0.000000
26, 1, 1, 1, 76, 0.000000
26, 1, 1, 1, 77, 2518.319336
26, 1, 1, 1, 78, 1189.742065
26, 1, 1, 1, 79, 3217.509521
26, 1, 1, 1, 80, 4506.599121
26, 1, 1, 1, 81, 0.000000
26, 1, 1, 1, 82, 102.614655
26, 1, 1, 1, 83, 0.000000
26, 1, 1, 1, 84, 0.000000
26, 1, 1, 1, 85, 0.000000
26, 1, 1, 1, 86, 0.000000
26, 1, 1, 1, 87, 1103.588989
26, 1, 1, 1, 88, 0.000000
26, 1, 1, 1, 89, 4853.639160
26, 1, 1, 1, 90, 571.194336
26, 1, 1, 1, 91, 3141.347656
26, 1, 1, 1, 92, 4622.992188
26, 1, 1, 1, 93, 1214.454590
26, 1, 1, 1, 94, 1319.005981
26, 1, 1, 1, 95, 0.000000
26, 1, 1, 1, 96, 0.000000
26, 1, 1, 1, 97, 0.000000
26, 1, 1, 1, 98, 0.000000
26, 1, 1, 1, 99, 1648.114502
26, 1, 1, 1, 100, 0.000000
26, 1, 2, 1, 0, 659.211792
26, 1, 2, 1, 1, 55731.265625
26, 1, 2, 1, 2, 2227.771484
26, 1, 2, 1, 3, 0.000000
26, 1, 2, 1, 4, 0.000000
26, 1, 2, 1, 5, 5775.343750
26, 1, 2, 1, 6, 2074.009277
26, 1, 2, 1, 7, 0.000000
26, 1, 2, 1, 8, 1332.504883
26, 1, 2, 1, 9, 0.000000
26, 1, 2, 1, 10, 5881.655762
26, 1, 2, 1, 11, 7501.739258
26, 1, 2, 1, 12, 3495.237305
26, 1, 2, 1, 13, 0.000000
26, 1, 2, 1, 14, 8640.957031
26, 1, 2, 1, 15, 0.000000
26, 1, 2, 1, 16, 1302.520996
26, 1, 2, 1, 17, 0.000000
26, 1, 2, 1, 18, 0.000000
26, 1, 2, 1, 19, 0.000000
26, 1, 2, 1, 20, 0.000000
26, 1, 2, 1, 21, 3258.670410
26, 1, 2, 1, 22, 0.000000
26, 1, 2, 1, 23, 1340.376953
26, 1, 2, 1, 24, 287.270508
26, 1, 2, 1, 25, 4501.517090
26, 1, 2, 1, 26, 1691.534180
26, 1, 2, 1, 27, 2386.531738
26, 1, 2, 1, 28, 4113.405273
26, 1, 2, 1, 29, 496.991943
26, 1, 2, 1, 30, 9231.657227
26, 1, 2, 1, 31, 6557.906250
26, 1, 2, 1, 32, 0.000000
26, 1, 2, 1, 33, 0.000000
26, 1, 2, 1, 34, 0.000000
26, 1, 2, 1, 35, 0.000000
26, 1, 2, 1, 36, 0.000000
26, 1, 2, 1, 37, 0.000000
26, 1, 2, 1, 38, 356.150879
26, 1, 2, 1, 39, 0.000000
26, 1, 2, 1, 40, 856.361450
26, 1, 2, 1, 41, 7391.193359
26, 1, 2, 1, 42, 30732.037109
26, 1, 2, 1, 43, 0.000000
26, 1, 2, 1, 44, 2638.827148
26, 1, 2, 1, 45, 6534.893555
26, 1, 2, 1, 46, 3923.779297
26, 1, 2, 1, 47, 0.000000
26, 1, 2, 1, 48, 0.000000
26, 1, 2, 1, 49, 13131.466797
26, 1, 2, 1, 50, 0.000000
26, 1, 2, 1, 51, 11232.123047
26, 1, 2, 1, 52, 0.000000
26, 1, 2, 1, 53, 7229.913574
26, 1, 2, 1, 54, 0.000000
26, 1, 2, 1, 55, 3366.650391
26, 1, 2, 1, 56, 1242.877075
26, 1, 2, 1, 57, 10162.675781
26, 1, 2, 1, 58, 0.000000
26, 1, 2, 1, 59, 3149.732422
26, 1, 2, 1, 60, 27353.609375
26, 1, 2, 1, 61, 5849.130859
26, 1, 2, 1, 62, 0.000000
26, 1, 2, 1, 63, 0.000000
26, 1, 2, 1, 64, 1022.485352
26, 1, 2, 1, 65, 1356.566406
26, 1, 2, 1, 66, 0.000000
26, 1, 2, 1, 67, 6980.560547
26, 1, 2, 1, 68, 0.000000
26, 1, 2, 1, 69, 2243.621582
26, 1, 2, 1, 70, 4362.987793
26, 1, 2, 1, 71, 746.723389
26, 1, 2, 1, 72, 1850.124512
26, 1, 2, 1, 73, 3874.235352
26, 1, 2, 1, 74, 0.000000
26, 1, 2, 1, 75, 1547.399414
26, 1, 2, 1, 76, 0.000000
26, 1, 2, 1, 77, 5947.198730
26, 1, 2, 1, 78, 3732.903320
26, 1, 2, 1, 79, 7112.515625
26, 1, 2, 1, 80, 9260.998047
26, 1, 2, 1, 81, 0.000000
26, 1, 2, 1, 82, 1921.024414
26, 1, 2, 1, 83, 806.962524
26, 1, 2, 1, 84, 0.000000
26, 1, 2, 1, 85, 918.113770
26, 1, 2, 1, 86, 0.000000
26, 1, 2, 1, 87, 3589.314941
26, 1, 2, 1, 88, 0.000000
26, 1, 2, 1, 89, 9839.398438
26, 1, 2, 1, 90, 2701.990479
